2024-02-21 00:51:06.285218
E:\Geometric_Weighted_UDF\train_udf.py
epoch: 237 total loss: 0.0006347, udf loss: 0.0006347, surface udf loss: nan
epoch: 238 total loss: 0.0006341, udf loss: 0.0006341, surface udf loss: nan
epoch: 239 total loss: 0.0006369, udf loss: 0.0006369, surface udf loss: nan
epoch: 240 total loss: 0.0006327, udf loss: 0.0006327, surface udf loss: nan
epoch: 241 total loss: 0.0006318, udf loss: 0.0006318, surface udf loss: nan
epoch: 242 total loss: 0.0006333, udf loss: 0.0006333, surface udf loss: nan
epoch: 243 total loss: 0.0006322, udf loss: 0.0006322, surface udf loss: nan
epoch: 244 total loss: 0.0006320, udf loss: 0.0006320, surface udf loss: nan
epoch: 245 total loss: 0.0006302, udf loss: 0.0006302, surface udf loss: nan
epoch: 246 total loss: 0.0006334, udf loss: 0.0006334, surface udf loss: nan
epoch: 247 total loss: 0.0006316, udf loss: 0.0006316, surface udf loss: nan
epoch: 248 total loss: 0.0006342, udf loss: 0.0006342, surface udf loss: nan
epoch: 249 total loss: 0.0006333, udf loss: 0.0006333, surface udf loss: nan
epoch: 250 total loss: 0.0006331, udf loss: 0.0006331, surface udf loss: nan
epoch: 251 total loss: 0.0006335, udf loss: 0.0006335, surface udf loss: nan
epoch: 252 total loss: 0.0006331, udf loss: 0.0006331, surface udf loss: nan
epoch: 253 total loss: 0.0006322, udf loss: 0.0006322, surface udf loss: nan
epoch: 254 total loss: 0.0006310, udf loss: 0.0006310, surface udf loss: nan
epoch: 255 total loss: 0.0006304, udf loss: 0.0006304, surface udf loss: nan
epoch: 256 total loss: 0.0006314, udf loss: 0.0006314, surface udf loss: nan
epoch: 257 total loss: 0.0006317, udf loss: 0.0006317, surface udf loss: nan
